ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Inches_OpSys_Weight,Inches_Cpu_Gpu,Company_Cpu,Inches_OpSys_Weight_Inches_Cpu_Gpu
23,65,9,4,58,8,1490.2996862971945,2184,26390,65,57635760
1,63,9,2,51,8,1000.0,2016,22491,63,45341856
8,74,9,16,53,4,639.6422453111442,4200,54908,518,230613600
25,85,1,29,9,8,2822.7134180256744,7488,9945,85,74468160
23,67,9,16,59,8,2006.3630498142252,2184,27671,67,60433464
0,14,6,26,17,5,444.9685184773177,7490,3332,0,24956680
25,84,1,15,60,3,2380.548201214764,3588,65520,84,235085760
1,63,9,15,51,8,1288.96255589917,2016,22491,63,45341856
8,106,1,29,98,5,1663.0698378089749,2100,103880,212,218148000
15,83,9,16,61,5,856.5643980688365,3150,50630,0,159484500
0,74,6,26,53,4,438.18274857053854,4200,54908,518,230613600
8,56,6,26,47,4,383.7742229737246,4200,36848,392,154761600
25,86,1,16,10,8,2714.274590072752,7488,11180,86,83715840
8,56,6,16,24,5,554.9869846708344,8050,18816,224,151468800
22,51,9,16,52,8,1404.3206443144147,120,7956,51,954720
23,65,9,16,58,8,1689.2673593343268,2184,26390,65,57635760
8,97,9,16,24,5,828.7538656640041,8050,32592,388,262365600
25,87,1,29,11,8,3179.3000645204347,7488,12441,87,93158208
8,59,9,10,72,4,555.0982268004539,6440,59472,590,382999680
13,83,9,4,61,5,1089.060448973235,840,35441,332,29770440
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
15,77,9,5,75,5,1111.3088748971008,9170,80850,770,741394500
0,22,6,26,12,4,287.00469441786987,4200,3696,154,15523200
7,83,9,16,61,5,911.073041582308,2030,35441,332,71945230
8,106,9,16,53,5,733.0856341913808,5670,78652,742,445956840
0,56,6,10,47,5,465.7040514383607,8610,36848,224,317261280
1,62,9,2,51,3,1222.5510045164303,777,22134,62,17198118
8,83,9,16,7,5,889.9370369546353,8050,8134,332,65478700
8,107,9,19,61,5,1443.922842458896,5390,91378,428,492527420
8,83,9,10,69,5,996.7294813891916,10480,91632,581,960303360
8,29,6,35,40,5,272.5320933543951,5460,16240,87,88670400
0,20,4,23,12,5,221.37183794246556,3050,2400,40,7320000
8,8,6,26,7,5,488.3529490288561,11040,896,56,9891840
35,106,1,29,61,5,2079.115402585267,1155,45262,424,52277610
1,62,9,15,51,3,1110.1964536009075,777,22134,62,17198118
0,37,6,35,43,5,276.99290275213025,2300,15910,370,36593000
0,60,6,10,53,2,408.2586157029389,2996,44520,0,133381920
15,83,9,5,7,5,1089.060448973235,11680,9296,332,108577280
0,74,6,10,53,5,543.629163236701,5250,54908,518,288267000
8,83,9,16,70,5,977.8183193539056,7490,81340,581,609236600
8,56,6,10,53,2,432.7318842191914,4200,41552,112,174518400
15,102,1,18,79,5,1667.519522993748,9380,112812,408,1058176560
0,74,9,10,72,2,581.785213696131,3444,74592,148,256894848
15,83,6,16,61,5,758.6713240038266,8050,70882,0,570600100
7,83,0,10,63,5,1111.3088748971008,11360,83664,332,950423040
23,64,9,16,56,8,1578.525819298285,2184,25088,64,54792192
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,26,9,18,37,5,1445.035263755089,12400,15392,52,190860800
8,74,6,16,24,5,710.8372082675149,8610,24864,296,214079040
0,113,6,10,66,5,518.3883240260751,11680,119328,226,1393751040
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
15,106,9,16,98,5,935.5463100985604,8050,145432,0,1170727600
8,8,6,16,16,5,443.2887623200658,5250,1792,56,9408000
8,106,9,29,61,5,1227.000689701203,1750,45262,742,79208500
0,59,6,10,53,5,427.169777738225,8820,43778,0,386121960
8,106,9,16,6,5,854.1170712172112,6930,8904,424,61704720
8,56,6,4,47,5,488.3529490288561,5670,36848,392,208928160
0,74,6,16,53,5,652.0902396155471,10500,54908,148,576534000
8,102,1,20,80,5,2724.3197543773776,9920,130560,1122,1295155200
8,56,6,16,47,2,461.6548379202171,4200,36848,112,154761600
8,106,1,20,7,5,1445.035263755089,11680,11872,424,138664960
8,83,9,16,61,5,977.8183193539056,3550,50630,332,179736500
15,60,9,16,53,4,666.3403564197832,2840,31800,600,90312000
8,83,9,16,61,5,1046.7884397178898,2550,50630,166,129106500
8,74,9,16,53,5,767.5706943733729,5250,54908,518,288267000
8,102,1,29,76,5,2205.9314303513024,5530,108528,204,600159840
0,56,6,26,6,5,488.00809842703626,5250,4704,392,24696000
0,36,6,25,41,5,254.7444768282644,2300,14760,252,33948000
8,74,6,10,53,5,610.7192916101185,6160,54908,740,338233280
8,102,0,10,76,2,1055.6878100874362,5376,124032,204,666796032
37,74,6,4,53,6,1211.4267915544974,1296,31376,962,40663296
15,106,7,16,7,5,1062.362337864596,1785,5194,424,9271290
8,106,9,16,7,5,967.806527688166,8050,10388,424,83623400
8,77,9,5,75,5,1218.1013193316571,11520,92400,847,1064448000
0,56,9,10,47,5,432.7318842191914,5350,26320,0,140812000
8,102,9,10,75,5,1055.6878100874362,8050,107100,204,862155000
8,74,9,22,53,4,577.3466527243197,6440,54908,740,353607520
8,106,9,5,61,5,951.1202082452666,6300,90524,424,570301200
8,60,6,10,97,5,589.5832869824459,8050,81480,0,655914000
8,83,9,5,69,5,1086.8356063808485,10480,91632,581,960303360
15,83,9,16,61,5,1219.3917280352412,5390,70882,332,382053980
22,61,9,29,52,8,1679.7561572518744,120,9516,61,1141920
8,83,9,16,53,5,956.682314726233,2950,43990,581,129770500
8,8,6,4,5,5,443.8560971811244,8050,560,80,4508000
0,14,6,10,17,5,439.4064119963512,7490,3332,0,24956680
15,102,1,5,76,5,1500.656328564754,9380,108528,408,1017992640
15,106,9,16,85,5,777.5824860391126,5040,126140,742,635745600
8,74,9,16,53,5,666.3292322068213,5950,54908,518,326702600
15,102,1,5,79,5,1611.8984581840832,8050,112812,204,908136600
15,106,9,16,61,5,1834.3827174227424,805,45262,424,36435910
8,24,9,10,36,5,777.5824860391126,8750,12096,48,105840000
8,106,4,10,98,5,766.4582730771797,8050,145432,0,1170727600
8,106,1,29,61,5,1331.568291543373,1750,45262,742,79208500
8,77,9,16,79,5,1329.3434489509866,9380,85162,308,798819560
8,97,9,16,53,5,1166.9299397067657,1400,51410,194,71974000
13,83,9,16,61,5,942.2208378757202,1995,35441,0,70704795
8,97,9,10,24,2,667.3415355863572,3220,32592,388,104946240
8,56,6,16,24,2,539.5243286537476,3220,18816,224,60587520
8,59,8,16,65,5,641.8670879035308,10500,53690,118,563745000
15,102,0,5,75,5,1389.4141989454245,9240,107100,714,989604000
8,97,9,16,7,5,799.8309119629785,5670,9506,679,53899020
8,22,6,26,12,5,388.2350323714597,7490,3696,154,27683040
8,83,9,10,6,2,719.7365786370614,3220,6972,332,22449840
15,97,9,16,98,5,1244.7994304402962,1400,66542,679,93158800
37,74,9,16,53,6,1490.6445368990142,1296,31376,962,40663296
15,74,8,16,72,5,733.0856341913808,2750,53280,518,146520000
8,56,6,10,47,5,461.54359579059775,5180,36848,560,190872640
15,97,9,16,72,5,1327.1186063586,2100,69840,194,146664000
8,102,1,18,76,5,1445.035263755089,8050,108528,1122,873650400
15,97,9,16,53,5,1646.3835183660754,2750,51410,970,141377500
8,106,1,18,98,5,1403.8756757959372,3990,145432,212,580273680
31,98,9,16,58,5,1534.0289674505525,875,39788,392,34814500
13,74,9,16,53,5,1556.2773933744186,1365,27454,740,37474710
9,83,6,26,61,5,803.1681758515584,2950,50630,581,149358500
15,83,9,16,61,5,1812.134291498876,805,35441,332,28530005
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,106,9,29,61,5,1205.8646850735308,2950,64660,742,190747000
15,106,9,18,72,5,1257.4031637261662,7140,106848,424,762894720
8,56,6,10,66,5,627.4056110530179,12000,59136,112,709632000
8,106,9,16,72,5,1243.6870091441028,4970,106848,212,531034560
13,59,8,10,53,5,532.8498008765879,7490,43778,0,327897220
8,102,1,20,80,5,2493.492335417269,5530,114240,1122,631747200
8,74,9,16,72,4,699.7129953055821,6440,74592,740,480372480
8,106,1,29,70,5,1413.887467461677,10480,118720,742,1244185600
0,14,6,16,17,5,501.70200458317566,7490,3332,0,24956680
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,83,9,10,61,5,903.2860925089548,2950,50630,581,149358500
0,16,6,37,12,6,309.24199612877385,3660,1920,32,7027200
8,106,1,20,7,5,1552.9401294858387,11680,11872,424,138664960
8,83,9,16,61,5,1032.326962867377,10480,81008,581,848963840
0,74,9,10,30,5,710.826084054553,8400,31080,296,261072000
8,56,6,10,24,5,499.4771619907891,8050,18816,224,151468800
15,106,9,16,61,5,983.380425834872,3150,64660,0,203679000
8,60,6,16,97,5,636.3049814225643,12950,81480,0,1055166000
0,97,9,10,53,5,665.2279351235899,6510,71974,679,468550740
8,106,9,16,61,5,1099.0722406389746,2950,64660,742,190747000
0,37,6,10,43,4,280.7306383073397,4928,22274,370,109766272
8,77,9,5,75,5,1043.45117582931,13440,92400,154,1241856000
8,74,6,10,66,4,555.0982268004539,6440,68376,740,440341440
15,74,6,16,53,5,777.5824860391126,1225,27454,518,33631150
15,60,6,10,97,5,728.6359490066077,13440,93120,0,1251532800
15,83,9,16,35,5,1241.4844149776402,3350,29050,830,97317500
15,102,9,16,77,4,966.6941063919726,7056,109956,1020,775849536
0,68,6,26,47,5,669.6776203083631,7490,44744,1088,335132560
0,8,6,16,16,5,410.48345829532553,5250,1792,56,9408000
8,106,9,16,61,5,1222.5510045164303,1400,64660,212,90524000
11,47,9,29,46,5,2240.4164905332946,150,10810,329,1621500
8,37,6,10,43,5,382.6729258904932,10500,22274,74,233877000
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
0,56,6,10,47,5,497.2523193984025,7490,36848,0,275991520
8,102,1,29,75,5,1389.7034284824344,8960,107100,408,959616000
8,102,9,1,75,5,1000.0667452777716,9240,107100,408,989604000
0,74,6,4,53,5,553.9858055042605,6160,54908,740,338233280
8,102,1,18,79,5,2102.476249805326,11680,128928,1122,1505879040
8,80,6,16,53,5,1203.6398424811443,2450,42400,560,103880000
8,83,8,16,6,5,688.5887823436491,5670,6972,581,39531240
13,59,6,16,53,5,699.7129953055821,3300,31270,590,103191000
7,83,9,16,53,5,1462.8340044941815,770,30793,166,23710610
7,106,9,16,61,5,1166.9299397067657,3780,90524,424,342180720
0,55,6,26,47,5,497.2523193984025,7490,36190,880,271063100
0,14,6,10,22,5,448.3057823658975,6370,4312,28,27467440
15,83,6,16,98,5,895.4991434356018,13440,130144,0,1749135360
8,83,9,16,6,5,809.842703628718,6930,6972,332,48315960
15,102,1,16,76,5,1200.3025785925645,9170,108528,1020,995201760
0,37,6,10,43,5,387.1226110752663,7490,22274,0,166832260
15,102,1,18,79,5,2001.2459118517363,8820,112812,1122,995001840
0,113,6,10,44,5,404.3762653792244,7490,69608,0,521363920
8,102,9,5,75,5,1179.7116604000266,8960,107100,408,959616000
15,83,9,16,98,5,950.0077869490732,13440,130144,0,1749135360
15,83,6,26,61,5,838.7656573297438,1750,35441,581,62021750
17,74,9,16,53,5,1500.656328564754,270,23532,592,6353640
15,74,8,22,6,5,777.5824860391126,11040,7104,518,78428160
0,9,6,26,16,4,343.7381805237279,6440,2016,90,12983040
0,59,6,26,53,5,543.9740138385208,12740,43778,944,557731720
8,83,9,16,69,5,1026.7648563864109,10480,91632,581,960303360
0,59,9,10,53,5,510.6013749527221,8610,43778,236,376928580
0,56,6,4,47,5,499.4771619907891,7490,36848,0,275991520
8,95,5,31,62,5,3113.6672080450303,15045,100130,1045,1506455850
8,74,9,5,4,5,904.398513805148,5600,4144,740,23206400
11,83,9,16,61,5,1667.519522993748,1120,35441,581,39693920
8,106,1,20,7,2,1166.9299397067657,2520,10388,424,26177760
8,83,9,16,61,5,1556.2773933744186,875,35441,332,31010875
11,106,1,29,61,5,2056.866976661401,2295,58194,1060,133555230
0,74,9,4,53,5,882.1500878812823,6860,54908,1184,376668880
15,83,9,16,98,4,1333.7931341357598,4704,113876,1494,535672704
7,106,1,29,63,5,1723.1405878034127,11360,106848,424,1213793280
5,102,1,29,75,5,2666.473846975326,6580,107100,408,704718000
15,77,9,16,75,4,866.5761897345762,7056,80850,770,570477600
15,81,9,16,52,5,1100.184661935168,490,29484,0,14447160
8,106,9,5,7,5,1206.9771063697242,11680,11872,424,138664960
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
15,37,6,23,43,5,289.2295370102565,2100,15910,629,33411000
15,74,9,16,98,4,1112.310054063675,1176,50764,1332,59698464
2,83,9,16,98,4,776.4700647429194,9344,130144,830,1216065536
13,106,9,10,61,5,933.3214675061738,2030,45262,424,91881860
15,83,9,10,69,5,1016.7530647206707,10480,91632,581,960303360
5,103,5,12,82,5,6784.6574854829005,12800,135136,1442,1729740800
8,83,9,29,61,5,1066.8120230493691,1750,35441,581,62021750
15,102,1,18,75,5,1534.0289674505525,12560,122400,714,1537344000
8,106,9,16,70,5,1162.4802545219925,10480,118720,742,1244185600
12,102,1,31,79,5,2052.417291476628,9380,112812,408,1058176560
0,68,6,4,47,5,548.423699023294,7490,44744,680,335132560
8,97,9,10,72,5,825.4166017754243,7700,97776,0,752875200
15,102,1,31,79,5,1945.6248470420717,10850,112812,1020,1224010200
6,114,1,18,101,5,3398.4470598705134,10220,161196,456,1647423120
8,102,1,29,79,4,1555.1649720782252,7056,112812,1020,796001472
36,59,8,10,53,5,488.3529490288561,8610,43778,236,376928580
11,106,9,16,61,5,2168.1091062807304,805,45262,424,36435910
8,106,9,16,61,5,1611.8984581840832,6580,45262,424,297823960
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,102,9,10,75,2,866.5761897345762,3528,107100,0,377848800
8,102,1,18,75,5,1565.176763743965,11920,122400,204,1459008000
8,56,6,26,47,4,388.2350323714597,5992,36848,392,220793216
8,74,9,16,53,4,610.7192916101185,6440,54908,740,353607520
17,97,9,29,53,5,1667.519522993748,270,30846,776,8328420
15,106,9,16,7,5,1036.643157496607,1785,5194,424,9271290
2,74,9,10,85,4,655.2161434578502,9344,100640,740,940380160
8,106,9,16,69,5,1146.9063563752864,2950,73140,742,215763000
8,83,9,16,61,5,1278.172069326095,3150,50630,332,159484500
7,106,1,29,61,5,1422.7868378312232,2030,45262,424,91881860
8,83,9,16,6,2,753.4985649765277,3220,6972,332,22449840
15,83,9,16,61,5,1000.0667452777716,3300,50630,830,167079000
8,89,9,16,47,5,1516.23022671146,1155,29281,1424,33819555
8,83,9,10,61,5,883.2625091774755,7490,70882,581,530906180
15,102,1,18,79,5,2732.484926691436,14080,128928,408,1815306240
8,97,9,16,72,5,925.5345184328208,8050,97776,0,787096800
7,97,1,10,30,5,955.5810176430016,8610,40740,388,350771400
8,74,9,16,67,5,855.4519767726432,10500,69412,148,728826000
8,74,9,21,86,5,991.1673749082252,10880,101824,148,1107845120
8,97,9,10,1,5,1411.6626248692903,6160,1358,679,8365280
0,59,6,10,53,5,443.8449729681624,8470,43778,118,370799660
0,19,6,26,12,5,367.09902774378713,7490,3192,133,23908080
15,102,1,18,79,5,1667.519522993748,10850,112812,1020,1224010200
8,74,9,16,53,5,955.5698934300397,3150,39220,296,123543000
13,68,9,16,47,5,766.4582730771797,2205,22372,0,49330260
8,97,1,16,30,2,1000.0667452777716,3360,40740,388,136886400
0,56,6,10,47,2,433.8443055153848,2996,36848,0,110396608
8,2,6,5,24,5,639.6422453111442,8050,672,4,5409600
8,103,5,31,82,5,4327.318842191915,14400,135136,206,1945958400
15,77,9,16,75,5,941.1084165795268,9170,80850,0,741394500
0,56,9,4,47,5,655.2161434578502,12950,36848,560,477181600
8,106,9,5,63,5,1273.7223841413218,8560,106848,212,914618880
8,97,9,5,86,4,988.9425323158384,8704,133472,194,1161740288
8,77,9,16,75,5,977.8183193539056,8960,80850,308,724416000
13,97,9,16,53,5,1200.3025785925645,1800,46269,970,83284200
8,106,9,6,7,5,1095.7349767503947,8050,10388,424,83623400
36,74,9,10,53,5,621.8435045720514,6440,54908,518,353607520
8,103,1,16,82,5,3336.1514672836893,13120,135136,206,1772984320
15,83,6,26,61,5,750.8843749304735,1750,35441,581,62021750
23,67,9,29,59,8,2269.33944423432,2184,27671,67,60433464
13,106,9,10,61,5,911.073041582308,6720,90524,424,608321280
8,102,1,18,93,5,2001.2459118517363,14000,151776,204,2124864000
0,14,6,10,22,5,521.725587914655,4340,4312,28,18714080
13,106,9,29,61,5,2056.866976661401,1755,58194,1060,102130470
15,60,6,16,97,5,780.9197499276925,13440,93120,0,1251532800
8,83,9,16,61,5,1055.6878100874362,1505,35441,332,53338705
0,10,9,4,16,5,496.0286559725899,5670,2240,70,12700800
15,106,1,10,98,5,1178.0541526686984,11920,166208,742,1981199360
8,102,1,31,80,5,2779.940819187042,13600,130560,1122,1775616000
13,102,9,29,77,5,1890.0037822324068,10500,109956,1020,1154538000
8,106,9,5,7,5,1270.385120252742,11680,11872,424,138664960
8,56,6,16,47,4,493.9150555098226,6440,36848,560,237301120
15,83,6,26,53,5,803.1681758515584,7490,61586,581,461279140
8,74,6,10,53,5,730.8607915989943,7280,54908,296,399730240
8,74,9,10,24,5,628.5180323492112,7770,24864,296,193193280
7,83,9,16,61,5,888.8246156584421,9450,70882,332,669834900
7,106,9,34,61,5,1667.519522993748,5985,45262,212,270893070
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,106,9,10,70,5,1132.4448795247736,10480,118720,742,1244185600
8,106,9,16,61,5,978.9307406500988,6510,90524,1060,589311240
23,66,9,29,57,8,2179.122077113044,2184,26334,66,57513456
8,26,1,18,37,5,1723.1405878034127,12400,15392,52,190860800
8,106,9,16,6,2,817.7075221928047,2800,8904,424,24931200
39,91,1,29,47,5,2779.940819187042,1900,42770,910,81263000
0,89,9,26,68,5,903.2860925089548,8050,84728,1424,682060400
0,97,0,10,53,5,793.2342536765523,8610,71974,388,619696140
8,106,9,5,7,2,1222.5510045164303,4672,11872,424,55465984
15,106,9,10,97,5,828.7538656640041,8050,143948,0,1158781400
2,56,6,10,47,5,543.9740138385208,11680,42112,560,491868160
8,106,9,22,98,4,944.4456804681068,9344,166208,1060,1553047552
2,97,8,5,72,5,955.5698934300397,11680,111744,970,1305169920
8,54,6,10,24,2,476.1163147707299,3136,18144,216,56899584
15,77,9,16,75,5,922.1972545442408,9170,80850,770,741394500
8,74,8,16,53,5,644.0919304959173,8050,54908,740,442009400
15,106,9,16,98,5,1057.9126526798227,11760,145432,0,1710280320
13,97,0,10,53,5,733.0856341913808,7070,71974,0,508856180
15,97,9,16,55,5,1220.3261619240438,5880,74690,970,439177200
8,74,9,16,72,5,1086.8356063808485,4970,74592,148,370722240
15,102,1,18,76,5,1311.544708211894,9170,108528,1020,995201760
8,97,9,10,72,4,733.0967584043427,6440,97776,970,629677440
0,32,4,8,40,1,221.37183794246556,1484,17920,0,26593280
8,102,9,10,75,5,1320.4440785814402,13440,122400,204,1645056000
2,56,9,10,47,5,543.9740138385208,10160,42112,392,427857920
8,102,9,16,75,5,2034.6185507375349,10500,107100,408,1124550000
8,83,9,16,61,5,822.0793378868443,6510,70882,830,461441820
15,102,9,10,79,5,1445.035263755089,10850,112812,1020,1224010200
8,102,9,16,76,2,1089.060448973235,3668,108528,0,398080704
8,104,1,16,101,5,3209.179700536187,12720,168064,416,2137774080
8,0,8,10,18,5,555.0982268004539,8820,0,0,0
8,97,1,29,72,5,1633.0344628117557,4130,97776,194,403814880
0,59,6,4,53,5,566.2224397623868,2100,31270,118,65667000
8,102,1,18,80,5,2360.5579905221703,11920,130560,204,1556275200
2,74,8,10,84,5,721.961421229448,14640,99456,740,1456035840
0,74,9,22,72,4,610.7192916101185,6440,74592,740,480372480
8,102,9,5,76,5,1407.212939684517,9170,108528,204,995201760
0,113,6,10,44,4,400.4605424166239,6440,69608,1130,448275520
7,99,1,16,53,5,2197.032059981756,1085,36729,693,39850965
15,89,9,16,68,5,1160.2554119296058,8050,84728,1424,682060400
8,74,9,5,72,5,911.073041582308,8610,74592,740,642237120
8,56,6,10,47,5,521.725587914655,5250,36848,392,193452000
15,74,9,16,53,5,1111.3088748971008,770,27454,740,21139580
11,106,1,12,61,5,2779.940819187042,805,45262,424,36435910
15,102,1,18,80,5,2334.9723007097245,10220,114240,1122,1167532800
8,11,9,16,17,5,521.725587914655,7700,2618,0,20158600
36,37,4,23,43,5,305.9158564531559,220,3182,74,700040
8,83,9,5,7,5,938.8835739871404,8260,8134,332,67186840
11,106,1,12,61,5,2724.3197543773776,1120,45262,742,50693440
0,33,6,7,45,1,511.602554119296,329,10395,330,3419955
8,74,9,16,53,5,1090.1728702694284,4200,39220,518,164724000
0,112,6,2,42,5,539.5243286537476,510,9408,0,4798080
8,97,9,16,53,5,1437.248314681736,2450,51410,679,125954500
2,74,6,10,66,5,655.2161434578502,11440,78144,740,893967360
8,97,9,16,53,5,1216.9888980354638,7500,51410,194,385575000
14,106,9,10,61,5,1003.4040091663512,7490,90524,742,678024760
0,4,9,16,34,5,733.0856341913808,8050,1904,0,15327200
0,37,6,23,43,5,324.8270184884419,2300,15910,370,36593000
0,74,8,10,53,5,610.7192916101185,13020,54908,0,714902160
8,97,9,16,72,5,1167.9311188733395,4970,97776,194,485946720
8,97,9,16,53,5,1485.0824304180478,725,25705,679,18636125
5,102,5,12,75,5,2935.6798006541035,6580,107100,408,704718000
8,102,9,18,76,5,1333.7931341357598,11520,124032,1122,1428848640
15,74,9,16,53,5,1049.0132823102765,6860,54908,1184,376668880
8,97,9,18,53,5,1483.9700091218544,7500,51410,194,385575000
8,56,6,10,47,5,499.4771619907891,5180,36848,560,190872640
8,102,9,16,75,5,1111.3088748971008,9170,107100,204,982107000
8,78,9,16,53,5,1410.550203573097,2450,41340,546,101283000
40,118,10,40,110,9,1222.5510045164303,42525,324500,2242,13799362500
8,74,9,16,53,5,1272.6099628451286,5110,54908,518,280579880
0,37,6,10,43,2,305.90473224019394,4200,22274,74,93550800
8,83,9,16,72,5,1271.219436224887,10500,83664,332,878472000
0,36,6,26,40,2,305.8046143235365,3220,20160,144,64915200
8,5,0,22,7,5,1000.0667452777716,8050,490,50,3944500
15,59,9,10,70,5,796.4936480743987,7490,57820,413,433071800
11,106,1,29,61,5,2334.9723007097245,2295,58194,1060,133555230
8,106,9,16,61,5,1756.5132266892117,1155,45262,424,52277610
